tvshow_title,season_number,episode_number,title,director_name
Batman: The Animated Series,1,1,The Cat and the Claw: Part I,Kevin Altieri
Batman: The Animated Series,1,2,On Leather Wings,Kevin Altieri
Batman: The Animated Series,1,3,Heart of Ice,Bruce Timm
Batman Beyond,1,1,Rebirth: Part 1,Curt Geda
Batman Beyond,1,2,Rebirth: Part 2,Curt Geda
Batman Beyond,1,3,Black Out,Dan Riba
Batman,1,1,Hi Diddle Riddle,Robert Butler
Batman,1,2,Smack in the Middle,Robert Butler
Batman,1,3,Fine Feathered Finks,Robert Butler
The New Batman Adventures,1,1,Holiday Knights,Dan Riba
The New Batman Adventures,1,2,Sins of the Father,Curt Geda
The New Batman Adventures,1,3,Cold Comfort,Dan Riba
Batman: Caped Crusader,1,1,In Treacherous Waters,Christina Sotta
Batman: Caped Crusader,1,2,...And Be a Villain,Matt Peters
Batman: Caped Crusader,1,3,Kiss of the Catwoman,Christopher Berkeley
The Batman,1,0,Building the Batman,Unknown
The Batman,1,1,The Bat in the Belfry,Seung Eun Kim
The Batman,1,2,Call of the Cobblepot,Brandon Vietti
Batman: The Brave and the Bold,1,1,The Rise of the Blue Beetle!,Ben Jones
Batman: The Brave and the Bold,1,2,Terror on Dinosaur Island!,Brandon Vietti
Batman: The Brave and the Bold,1,3,Evil Under the Sea!,Michael Chang
Beware the Batman,1,1,Hunted,Sam Liu
Beware the Batman,1,2,Secrets,Rick Morales
Beware the Batman,1,3,Tests,Curt Geda
The Adventures of Batman,1,1,My Crime is Your Crime/A Bird Out of Hand/Luthor's Lethal Laser/Forget Me Not  Superdog,Hal Sutherland
The Adventures of Batman,1,2,The Cool  Cruel Mr. Freeze/The Joke's on Robin/Can a Luthor Change His Spots?/Superboy Meets Mighty Lad,Hal Sutherland
The Adventures of Batman,1,3,How Many Herring in a Wheelbarrow?/In Again Out Again Penguin,Unknown
The New Adventures of Batman,1,3,Trouble Identity,Don Towsley
The New Adventures of Batman,1,4,A Sweet Joke on Gotham City,Don Towsley
The New Adventures of Batman,1,5,The Bermuda Rectangle,Don Towsley
Batman Unlimited,1,1,Training Standoff,Jake Castorena
Batman Unlimited,1,2,Batman Takes on Solomon Grundy,Jake Castorena
Batman Unlimited,1,3,Red Robin and Nightwing Take Down Killer Croc,Jake Castorena
Batman: Black and White,1,2,Broken Nose,Ian Kirby
Batman: Black and White,1,3,Two of a Kind,Ian Kirby
Batman: Black and White,1,5,The Black & White Bandit,Ian Kirby
Batman Beyond,1,1,Anniversary,Nate Lyles
Batman Beyond,1,2,Boom Boom Boom,Nate Lyles
Batman Beyond,1,3,The Missing Linque,Nate Lyles
Fat Man on Batman with Kevin Smith & Marc Bernardin!,1,1,Marvel - Iron-Fistin' Ya!,Unknown
Fat Man on Batman with Kevin Smith & Marc Bernardin!,1,2,DC Comics - Mistah J'Onzz,Unknown
Fat Man on Batman with Kevin Smith & Marc Bernardin!,1,3,Reactions to Star Wars!,Unknown
Batman: The Long Halloween,1,1,Crime,Karl Dutton
Batman: The Long Halloween,1,2,Thanksgiving,Unknown
Batman: The Long Halloween,1,3,Christmas,Unknown
Batman Adventures: Mad Love,1,1,Dental Hi-Jinx,Unknown
Batman: Abyss,1,1,Marked by Another,Coulter Rail
Batman: Abyss,1,2,Mind Cave,Coulter Rail
Batman: Abyss,1,3,Ailurophobia,Coulter Rail
How to  Batman!,1,1,How to Make a Margarita,Gabriel Evans
How to  Batman!,1,3,How to Properly Hang a Picture,Gabriel Evans
How to  Batman!,1,6,How to Wrap a Christmas Present,Gabriel Evans
The Lego Batman Collection,1,1,The Spider-Man Team-Up!,Unknown
The Lego Batman Collection,1,2,Attack of the Joker,Unknown
The Lego Batman Collection,1,3,If I Were Gay,Unknown
OnStar: Batman,1,2,Joker Face,Andrew Davis
Sassy Batman,1,1,The Dark Boots,Xavier Burgin
Sassy Batman,1,2,It's Too Early,Xavier Burgin
Sassy Batman,1,3,Roomies,Xavier Burgin
Untitled Batman Spin-off Series,1,1,Episode #1.1,Unknown
Untitled Batman Spin-off Series,1,2,Point-blank,Unknown
Untitled Batman Spin-off Series,1,5,Persona Non Grata,Unknown
Batman: Cape & Cowl,1,1,The Rise,Michael Lye
Batman: Cape & Cowl,1,2,Not Gonna Take Me Prisoner,Michael Lye
Batman: Cape & Cowl,1,3,I am Vengeance,Fergus Mitchell
Untitled Batman/HBO Max Project,1,1,Pilot,Unknown
Batman: Under the Dark,1,1,What Remains,Daniel Sarmiento
Batman: The Darkest Night,1,1,A Wasted Legacy,Joseph Ullman
Batman: The Darkest Night,1,2,Dark Knight,Joseph Ullman
Batman: The Darkest Night,1,3,Inversio,Unknown
The Batman Minecraft Series,1,2,Episode #1.2,Unknown
The Batman Minecraft Series,1,3,Episode #1.3,Unknown
The Batman Minecraft Series,1,4,Episode #1.4,Unknown
Lego Batman,1,1,The riddler,Panos Kanellopoulos
Lego Batman,1,2,The Joker,Kanellopoulos Panos
