movie_title,actor_name
Batman Begins,Christian Bale
Batman Begins,Michael Caine
Batman Begins,Ken Watanabe
The Batman,Robert Pattinson
The Batman,Zoë Kravitz
The Batman,Jeffrey Wright
Batman v Superman: Dawn of Justice,Ben Affleck
Batman v Superman: Dawn of Justice,Henry Cavill
Batman v Superman: Dawn of Justice,Amy Adams
Batman,Michael Keaton
Batman,Jack Nicholson
Batman,Kim Basinger
Batman Returns,Michael Keaton
Batman Returns,Danny DeVito
Batman Returns,Michelle Pfeiffer
Batman & Robin,Arnold Schwarzenegger
Batman & Robin,George Clooney
Batman & Robin,Chris O'Donnell
Batman Forever,Val Kilmer
Batman Forever,Tommy Lee Jones
Batman Forever,Jim Carrey
The Lego Batman Movie,Will Arnett
The Lego Batman Movie,Michael Cera
The Lego Batman Movie,Rosario Dawson
Batman v Superman: Dawn of Justice (Ultimate Edition),Amy Adams
Batman v Superman: Dawn of Justice (Ultimate Edition),Ben Affleck
Batman v Superman: Dawn of Justice (Ultimate Edition),Henry Cavill
Batman: The Killing Joke,Kevin Conroy
Batman: The Killing Joke,Mark Hamill
Batman: The Killing Joke,Tara Strong
Batman: Mask of the Phantasm,Kevin Conroy
Batman: Mask of the Phantasm,Dana Delany
Batman: Mask of the Phantasm,Hart Bochner
Batman: Under the Red Hood,Bruce Greenwood
Batman: Under the Red Hood,Jensen Ackles
Batman: Under the Red Hood,John DiMaggio
Batman: Under the Red Hood,Neil Patrick Harris
Batman: The Dark Knight Returns  Part 1,Peter Weller
Batman: The Dark Knight Returns  Part 1,Ariel Winter
Batman: The Dark Knight Returns  Part 1,David Selby
Batman: The Dark Knight Returns  Part 1,Wade Williams
Batman: The Dark Knight Returns  Part 2,Peter Weller
Batman: The Dark Knight Returns  Part 2,Ariel Winter
Batman: The Dark Knight Returns  Part 2,Michael Emerson
Batman: The Dark Knight Returns  Part 2,David Selby
Batman: The Movie,Adam West
Batman: The Movie,Burt Ward
Batman: The Movie,Lee Meriwether
Son of Batman,Jason O'Mara
Son of Batman,Stuart Allan
Son of Batman,Thomas Gibson
Batman: Year One,Bryan Cranston
Batman: Year One,Ben McKenzie
Batman: Year One,Eliza Dushku
Batman: Year One,Jon Polito
Batman: Assault on Arkham,Kevin Conroy
Batman: Assault on Arkham,Neal McDonough
Batman: Assault on Arkham,Hynden Walch
Batman: Assault on Arkham,Matthew Gray Gubler
Batman: Gotham Knight,Kevin Conroy
Batman: Gotham Knight,Jason Marsden
Batman: Gotham Knight,Scott Menville
Batman: Gotham Knight,George Newbern
Superman/Batman: Apocalypse,Andre Braugher
Superman/Batman: Apocalypse,Kevin Conroy
Superman/Batman: Apocalypse,Tim Daly
Superman/Batman: Apocalypse,Susan Eisenberg
Batman Beyond: Return of the Joker,Will Friedle
Batman Beyond: Return of the Joker,Kevin Conroy
Batman Beyond: Return of the Joker,Mark Hamill
Batman Beyond: Return of the Joker,Angie Harmon
Batman Ninja,Kôichi Yamadera
Batman Ninja,Wataru Takagi
Batman Ninja,Ai Kakuma
Superman/Batman: Public Enemies,Clancy Brown
Superman/Batman: Public Enemies,Kevin Conroy
Superman/Batman: Public Enemies,Tim Daly
Superman/Batman: Public Enemies,Xander Berkeley
Batman: The Long Halloween  Part One,Jensen Ackles
Batman: The Long Halloween  Part One,Josh Duhamel
Batman: The Long Halloween  Part One,Naya Rivera
Batman: Bad Blood,Jason O'Mara
Batman: Bad Blood,Yvonne Strahovski
Batman: Bad Blood,Stuart Allan
Batman: Bad Blood,Sean Maher
Batman vs. Robin,Stuart Allan
Batman vs. Robin,Troy Baker
Batman vs. Robin,Kevin Conroy
Batman vs. Robin,Trevor Devall
Batman: Gotham by Gaslight,Bruce Greenwood
Batman: Gotham by Gaslight,Jennifer Carpenter
Batman: Gotham by Gaslight,Chris Cox
Batman: The Long Halloween  Part Two,Jensen Ackles
Batman: The Long Halloween  Part Two,Josh Duhamel
Batman: The Long Halloween  Part Two,Naya Rivera
Batman and Harley Quinn,Kevin Conroy
Batman and Harley Quinn,Melissa Rauch
Batman and Harley Quinn,Paget Brewster
Batman: Hush,Jason O'Mara
Batman: Hush,Jennifer Morrison
Batman: Hush,Stuart Allan
Batman: Hush,Sachie Alessio
Batman & Mr. Freeze: SubZero,Kevin Conroy
Batman & Mr. Freeze: SubZero,Michael Ansara
Batman & Mr. Freeze: SubZero,Loren Lester
Batman & Mr. Freeze: SubZero,Efrem Zimbalist Jr.
Batman: Mystery of the Batwoman,Kevin Conroy
Batman: Mystery of the Batwoman,Kimberly Brooks
Batman: Mystery of the Batwoman,Kelly Ripa
Batman: Mystery of the Batwoman,Elisa Gabrielli
The Batman Superman Movie: World's Finest,Tim Daly
The Batman Superman Movie: World's Finest,Dana Delany
The Batman Superman Movie: World's Finest,Kevin Conroy
Batman vs Teenage Mutant Ninja Turtles,Troy Baker
Batman vs Teenage Mutant Ninja Turtles,Eric Bauza
Batman vs Teenage Mutant Ninja Turtles,Darren Criss
Batman vs Teenage Mutant Ninja Turtles,Kyle Mooney
The Batman vs. Dracula,Rino Romano
The Batman vs. Dracula,Peter Stormare
The Batman vs. Dracula,Tara Strong
The Batman vs. Dracula,Tom Kenny
Batman: Soul of the Dragon,David Giuntoli
Batman: Soul of the Dragon,Mark Dacascos
Batman: Soul of the Dragon,Kelly Hu
Batman Beyond: The Movie,Will Friedle
Batman Beyond: The Movie,Kevin Conroy
Batman Beyond: The Movie,Teri Garr
Batman: Return of the Caped Crusaders,Adam West
Batman: Return of the Caped Crusaders,Burt Ward
Batman: Return of the Caped Crusaders,Julie Newmar
Batman: Dead End,Clark Bartram
Batman: Dead End,Andrew Koenig
Batman: Dead End,Kurt Carley
Lego Batman: The Movie - DC Super Heroes Unite,Clancy Brown
Lego Batman: The Movie - DC Super Heroes Unite,Troy Baker
Lego Batman: The Movie - DC Super Heroes Unite,Christopher Corey Smith
Lego Batman: The Movie - DC Super Heroes Unite,Charlie Schlatter
Merry Little Batman,Luke Wilson
Merry Little Batman,Yonas Kibreab
Merry Little Batman,James Cromwell
Batman vs. Two-Face,Adam West
Batman vs. Two-Face,Burt Ward
Batman vs. Two-Face,William Shatner
Batman vs. Two-Face,Julie Newmar
Batman: The Long Halloween,Jensen Ackles
Batman: The Long Halloween,Laila Berzins
Batman: The Long Halloween,Frances Callier
Batman Unlimited: Animal Instincts,Roger Craig Smith
Batman Unlimited: Animal Instincts,Chris Diamantopoulos
Batman Unlimited: Animal Instincts,Will Friedle
Batman Unlimited: Animal Instincts,Charlie Schlatter
Scooby-Doo & Batman: The Brave and the Bold,Frank Welker
Scooby-Doo & Batman: The Brave and the Bold,Grey Griffin
Scooby-Doo & Batman: The Brave and the Bold,Matthew Lillard
Batman,Lewis Wilson
Batman,Douglas Croft
Batman,J. Carrol Naish
Batman Unlimited: Monster Mayhem,Troy Baker
Batman Unlimited: Monster Mayhem,Eric Bauza
Batman Unlimited: Monster Mayhem,Steve Blum
Batman Unlimited: Monster Mayhem,Janell Cox
Batman Beyond,Kevin Conroy
Batman Beyond,Will Friedle
Batman & Bill,Thomas Andrae
Batman & Bill,Jerry Bails
Batman & Bill,Otto Binder
Inception,Leonardo DiCaprio
Inception,Joseph Gordon-Levitt
Inception,Elliot Page
Inception: The Cobol Job,Leonardo DiCaprio
Inception: The Cobol Job,Joseph Gordon-Levitt
Inception: The Cobol Job,Lukas Haas
The Crack: Inception,Carlos Santos
The Crack: Inception,Miguel Ángel Muñoz
The Crack: Inception,Luisa Gavasa
Inception: Jump Right Into the Action,Leonardo DiCaprio
Inception: Jump Right Into the Action,Joseph Gordon-Levitt
Inception: Jump Right Into the Action,Christopher Nolan
Inception,Erfan Refahatnia
Inception,Danial Hajibarat
Inception,Shahrzad Nouri
Madness Inception,Gal Gado
Madness Inception,Steve Seaga
Inception: 4Movie Premiere Special,Rick Edwards
WWA: The Inception,Bret Hart
WWA: The Inception,Jeff Jarrett
WWA: The Inception,Brian James
WWA: The Inception,David Heath
Cyberalien: Inception,Viktor Acidhouse
Bikini Inception,Paizley Bishop
Bikini Inception,Byamba
Bikini Inception,Taylor Conzelman
Inception: In 60 Seconds,Nadav Elovic
Inception: In 60 Seconds,Omer Goldberg
Inception: In 60 Seconds,Ben Oringer
Insha Allah - An inception at closure,Menaga
Insha Allah - An inception at closure,Mohan
On Inception (TOI and MOI),Can Babatas
On Inception (TOI and MOI),Liem Duong
On Inception (TOI and MOI),Alex Sebastian Laibach
Needle Drop Inception,Christopher Tyson
Needle Drop Inception,Paul Burke
Needle Drop Inception,Ksenia Thurgood
Needle Drop Inception,Satine Scarlett Montaz
Inception of a lost Art,Alexia Jordan
Inception of a lost Art,Philip Lombardo
Inception (Sweded),Elisha Courts
Inception (Sweded),Marco Duran
Inception (Sweded),Mark Farmwald
Inception (Sweded),Keaton Monger
Fraud in the Inception: Who killed Robert Hamlin and Dorothy Grega,Sky Anderson
Fraud in the Inception: Who killed Robert Hamlin and Dorothy Grega,Janet Christensen-Obrien
Fraud in the Inception: Who killed Robert Hamlin and Dorothy Grega,Avis Hamlin
Inception of Chaos,Peter Benjamin
Inception of Chaos,Matthew Bradley
Inception of Chaos,Robert Davidson
Tu Tengo: Victoria's Inception,Benjamin Allred
Tu Tengo: Victoria's Inception,Rosalind Beard
Tu Tengo: Victoria's Inception,Dinah Bradford
Cirque Inception,Helena Chamma Palau
Inception Hanukkah,Jon Bander
Inception Hanukkah,Emily Shapiro
Inception Hanukkah,Dave Thunder
The Inception,Kesavan Alath
The Inception,Fayiza Kutty
The Inception,Sarath Sabha
Synesthesia: The Red (Part One: The Inception),Naphtali Brooks
Alien Inception,Jeff Lennan
Alien Inception,Jeff Lennan
Alien Inception,Kyler Lennan
Inception Premiere,Tera Hendrickson
Inception Premiere,Johnny Marr
Inception Premiere,Hans Zimmer
X - Inception,Cansu Gamze Durmus
X - Inception,Hazar Deniz BG
X - Inception,Memet Roj
I Forgot the Notations which were Excellent for the Inception of a Poem...,Sobhan Babaei
I Forgot the Notations which were Excellent for the Inception of a Poem...,Ghazal Monemi
Inception of Silence,Wojtylla Danditya Geharnoto
Inception of Silence,Mai-Lan Vu
Inception of Silence,Vengi
Inception of 001,John Geiger
The Inception of Attack Ads,Nat Freeberg
The Inception of Attack Ads,Kent Kincannon
The Inception of Attack Ads,Matt Mayer
The Inception of Attack Ads,Mark Phillips
Announcement Inception,John Williamson
Inception,Bill Corbett
Inception,Kevin Murphy
Inception,Michael J. Nelson
Blade Runner,Harrison Ford
Blade Runner,Rutger Hauer
Blade Runner,Sean Young
Blade Runner 2049,Harrison Ford
Blade Runner 2049,Ryan Gosling
Blade Runner 2049,Ana de Armas
Blade Runner: Black Out 2022,Jovan Jackson
