tvshow_title,season_number
Batman: The Animated Series,1
Batman Beyond,1
Batman,1
The New Batman Adventures,1
Batman: Caped Crusader,1
The Batman,1
Batman: The Brave and the Bold,1
Beware the Batman,1
The Adventures of Batman,1
The New Adventures of Batman,1
Batman Unlimited,1
Batman: Black and White,1
Batman Beyond,1
Fat Man on Batman with Kevin Smith & Marc Bernardin!,1
Batman: The Long Halloween,1
Batman Adventures: Mad Love,1
Batman: Abyss,1
How to  Batman!,1
The Lego Batman Collection,1
OnStar: Batman,1
The Batman Files,1
Sassy Batman,1
Untitled Batman Spin-off Series,1
Batman: Cape & Cowl,1
The Original Batman,1
Untitled Batman/HBO Max Project,1
LEGO Dark Knights: The Batman who Laughs,1
Batman: Choose Your Mission,1
Batman: Under the Dark,1
Batman: The Hunt for Red Hood,1
Batman: The Darkest Night,1
Because I'm Batman Films,1
Adis Games: Batman Arkham/Return to Arkham,1
Hot Wheels All Access: Batman v. Superman,1
The Batman (Animated MC Series),1
The Batman Minecraft Series,1
Batman: Hell On Earth,1
Batman Missions,1
Batman Unburied,1
Lego Batman,1
Batman: The Audio Adventures,1
Untitled the Batman Spinoff,1
JDR Batman Gotham City Chronicles,1
Building with Batman,1
Batman: The Fan Series,1
Transformação Do Batman,1
Batman: Wayne Family Adventures,1
RedRacc: Lego Batman: The Video Game,1
Batman: The Series,1
The Batman,1
Inception: Motion Comics,1
Evo Inception,1
Blade Runner: Black Lotus,1
Blade Runner 2099,1
Barbie: Life in the Dreamhouse,1
Ken and Barbie Killers: The Lost Murder Tapes,1
Barbie Dreamhouse Adventures,1
Barbie Dreamhouse Challenge,1
Barbie: It Takes Two,1
Barbie: A Touch of Magic,1
Barbie Dreamtopia,1
Barbie Mysteries: The Great Horse Chase,1
Barbie Vlogger,1
Barbie,1
Barbie: Fashionistas,1
Barbie LIVE! In the Dreamhouse,1
Barbie Dream Besties,1
The Barbie Vlog,1
Barbie Life in the City,1
Barbie: Team Fashion!,1
Barbie Camp Sister Switch!,1
Barbie for Adults,1
Holy Shit  Barbie,1
Live! Barbie and Friends,1
Barbie and the Bear,1
Cool Barbie,1
Barbie Story Box,1
Barbie Story Box,1
Barbie Travel Mysteries,1
Capitol Barbie,1
Darth Barbie,1
Barbie You Can Be Anything,1
Barbie Presents MEGA Barbie Adventures,1
Barbie Dream Besties,1
Huisje Boompje Barbie,1
Barbie and the Nutcracker Prince,1
Barbie: Adventures in Malibu,1
Barbie Dreamhouse Adventures: Go Team Roberts,1
Barbie 3D Dreamworld,1
Cheat Code: with Black Tech Barbie,1
Le Procès de Klaus Barbie,1
Barbie and Barbie on Set,1
The Patriot Barbie,1
Barbie Doll Adventures,1
Barbie: Fashion Fun for Everyone,1
Barbie Malibu Helpers' Club,1
Barbie Return to Dreamtopia,1
Barbie Ride 'N Style,1
Barbie & Barbie: Double the Fun,1
Mindhunter,1
True Detective,1
True Crime Story: Citizen Detective,1
