tvshow_title,actor_name
Batman: The Animated Series,Kevin Conroy
Batman: The Animated Series,Loren Lester
Batman: The Animated Series,Efrem Zimbalist Jr.
Batman Beyond,Will Friedle
Batman Beyond,Kevin Conroy
Batman Beyond,Lauren Tom
Batman,Adam West
Batman,Burt Ward
Batman,Alan Napier
The New Batman Adventures,Kevin Conroy
The New Batman Adventures,Tara Strong
The New Batman Adventures,Mathew Valencia
Batman: Caped Crusader,Hamish Linklater
Batman: Caped Crusader,Jason Watkins
Batman: Caped Crusader,Diedrich Bader
The Batman,Rino Romano
The Batman,Alastair Duncan
The Batman,Evan Sabara
Batman: The Brave and the Bold,Diedrich Bader
Batman: The Brave and the Bold,John DiMaggio
Batman: The Brave and the Bold,James Arnold Taylor
Beware the Batman,Anthony Ruivivar
Beware the Batman,Sumalee Montano
Beware the Batman,JB Blanc
The Adventures of Batman,Bud Collyer
The Adventures of Batman,Bob Hastings
The Adventures of Batman,Jackson Beck
The New Adventures of Batman,Adam West
The New Adventures of Batman,Burt Ward
The New Adventures of Batman,Lennie Weinrib
Batman Unlimited,Roger Craig Smith
Batman Unlimited,Yuri Lowenthal
Batman Unlimited,Troy Baker
Batman: Black and White,Michael Dobson
Batman: Black and White,Janyse Jaud
Batman: Black and White,John Fitzgerald
Batman Beyond,Robert L. Wilson
Batman Beyond,Mike Voutsinos
Batman Beyond,Rachel Leyco
Fat Man on Batman with Kevin Smith & Marc Bernardin!,Kevin Smith
Fat Man on Batman with Kevin Smith & Marc Bernardin!,Marc Bernardin
Batman: The Long Halloween,Omri Rose
Batman: The Long Halloween,Rex Anderson
Batman: The Long Halloween,Ray Bullock Jnr
Batman Adventures: Mad Love,Paul St. Peter
Batman Adventures: Mad Love,Billy Davis
Batman Adventures: Mad Love,Cindy Airey
Batman: Abyss,Coulter Rail
Batman: Abyss,Emily Lewis-Berry
Batman: Abyss,Joel Morales
How to  Batman!,Gabriel Evans
How to  Batman!,Ryan Parma
How to  Batman!,Kevin Herrera
The Lego Batman Collection,Forrest Whaley
The Lego Batman Collection,Keshen Sheken
The Lego Batman Collection,Brock Baker
OnStar: Batman,Bruce Thomas
OnStar: Batman,Michael Gough
OnStar: Batman,Brooke Burns
The Batman Files,Brendan La Dieu
Sassy Batman,Adam J. Jefferis
Sassy Batman,Amani Starnes
Sassy Batman,Aries Sanders
Sassy Batman,Melissa Bender
Batman: Cape & Cowl,Fergus Mitchell
