title,genre
Batman: The Animated Series,Animation
Batman Beyond,Animation
Batman,Action
The New Batman Adventures,Animation
Batman: Caped Crusader,Animation
The Batman,Animation
Batman: The Brave and the Bold,Animation
Beware the Batman,Animation
The Adventures of Batman,Animation
The New Adventures of Batman,Animation
Batman Unlimited,Animation
Batman: Black and White,Animation
Batman Beyond,Action
Fat Man on Batman with Kevin Smith & Marc Bernardin!,Talk-Show
Batman: The Long Halloween,Adventure
Batman Adventures: Mad Love,Animation
Batman: Abyss,Animation
How to  Batman!,Comedy
The Lego Batman Collection,Animation
OnStar: Batman,Short
The Batman Files,Action
Sassy Batman,Short
Untitled Batman Spin-off Series,Action
Batman: Cape & Cowl,Action
The Original Batman,Comedy
Untitled Batman/HBO Max Project,Action
LEGO Dark Knights: The Batman who Laughs,Animation
Batman: Choose Your Mission,Animation
Batman: Under the Dark,Animation
Batman: The Hunt for Red Hood,Action
Batman: The Darkest Night,Action
Because I'm Batman Films,Comedy
Adis Games: Batman Arkham/Return to Arkham,Short
Hot Wheels All Access: Batman v. Superman,Documentary
The Batman (Animated MC Series),Action
The Batman Minecraft Series,Animation
Batman: Hell On Earth,Action
Batman Missions,Animation
Batman Unburied,Fantasy
Lego Batman,Animation
Batman: The Audio Adventures,Comedy
Untitled the Batman Spinoff,Crime
JDR Batman Gotham City Chronicles,Fantasy
Building with Batman,N/A
Batman: The Fan Series,Action
Transformação Do Batman,Documentary
Batman: Wayne Family Adventures,Animation
RedRacc: Lego Batman: The Video Game,Comedy
Batman: The Series,Action
The Batman,Action
Inception: Motion Comics,Short
Evo Inception,Documentary
Blade Runner: Black Lotus,Animation
Blade Runner 2099,Action
Barbie: Life in the Dreamhouse,Animation
Ken and Barbie Killers: The Lost Murder Tapes,Documentary
Barbie Dreamhouse Adventures,Animation
Barbie Dreamhouse Challenge,Game-Show
Barbie: It Takes Two,Animation
Barbie: A Touch of Magic,Animation
Barbie Dreamtopia,Animation
Barbie Mysteries: The Great Horse Chase,Animation
Barbie Vlogger,Animation
Barbie,Family
Barbie: Fashionistas,Animation
Barbie LIVE! In the Dreamhouse,Short
Barbie Dream Besties,Animation
The Barbie Vlog,Animation
Barbie Life in the City,Animation
Barbie: Team Fashion!,Family
Barbie Camp Sister Switch!,Family
Barbie for Adults,Comedy
Holy Shit  Barbie,Crime
Live! Barbie and Friends,Family
Barbie and the Bear,Romance
Cool Barbie,Drama
Barbie Story Box,Family
Barbie Story Box,Family
Barbie Travel Mysteries,Family
Capitol Barbie,Thriller
Darth Barbie,Talk-Show
Barbie You Can Be Anything,Family
Barbie Presents MEGA Barbie Adventures,Family
Barbie Dream Besties,Fantasy
Huisje Boompje Barbie,Reality-TV
Barbie and the Nutcracker Prince,Family
Barbie: Adventures in Malibu,Animation
Barbie Dreamhouse Adventures: Go Team Roberts,Animation
Barbie 3D Dreamworld,Animation
Cheat Code: with Black Tech Barbie,Reality-TV
Le Procès de Klaus Barbie,Documentary
Barbie and Barbie on Set,Short
The Patriot Barbie,News
Barbie Doll Adventures,Animation
Barbie: Fashion Fun for Everyone,Animation
Barbie Malibu Helpers' Club,Animation
Barbie Return to Dreamtopia,Animation
Barbie Ride 'N Style,Animation
Barbie & Barbie: Double the Fun,Animation
Mindhunter,Crime
True Detective,Crime
True Crime Story: Citizen Detective,Documentary
